"","ID","Year","Cenb","Sp","Description","No","Lat","Long","X.coord","Y.coord"
"15628",15628,1979,1,"b","Buffalo",60,-23.99,31.69,366740.37,7346261.14
"15814",15814,1979,2,"b","Buffalo",40,-23.99,31.42,339270.35,7345979.4
"15846",15846,1979,2,"b","Buffalo",200,-23.99,31.48,345374.99,7346046.57
"15859",15859,1979,2,"b","Buffalo",30,-23.89,31.46,343219.32,7357098.47
"15971",15971,1979,2,"b","Buffalo",300,-23.99,31.57,354531.74,7346142.43
"16042",16042,1979,3,"b","Buffalo",400,-24.03,31.23,319993.88,7341319.57
"16299",16299,1979,4,"b","Buffalo",80,-23.85,31.19,315669.42,7361202.86
"16445",16445,1979,4,"b","Buffalo",1,-23.72,31.26,322623.35,7375689.12
"16458",16458,1979,4,"b","Buffalo",410,-23.74,31.28,324689.35,7373499.01
"16505",16505,1979,4,"b","Buffalo",150,-23.74,31.3,326728.26,7373523.52
"16703",16703,1979,6,"b","Buffalo",170,-23.56,31.36,332615.95,7393528.49
"16811",16811,1979,6,"b","Buffalo",400,-23.68,31.48,345006.88,7380375.33
"16831",16831,1979,7,"b","Buffalo",40,-23.66,31.19,315401.56,7382244.97
"16842",16842,1979,7,"b","Buffalo",60,-23.64,31.21,317414.01,7384485.62
"16865",16865,1979,7,"b","Buffalo",300,-23.6,31.26,322461.34,7388978.38
"16925",16925,1979,8,"b","Buffalo",200,-23.51,31.32,328467.77,7399018.18
"17008",17008,1979,9,"b","Buffalo",150,-23.6,31.11,307152.64,7388784.17
"17048",17048,1979,9,"b","Buffalo",60,-23.51,31.13,309063.8,7398778.31
"17104",17104,1979,9,"b","Buffalo",200,-23.49,31.17,313120.74,7401045.86
"17177",17177,1979,10,"b","Buffalo",100,-23.31,31.05,300593.66,7420819.55
"17187",17187,1979,10,"b","Buffalo",150,-23.33,31.07,302668.94,7418632.02
"17289",17289,1979,11,"b","Buffalo",200,-23.24,31.21,316863.32,7428782.86
"17292",17292,1979,11,"b","Buffalo",55,-23.24,31.23,318910,7428807.95
"17297",17297,1979,11,"b","Buffalo",300,-23.39,31.28,324224.03,7412258.67
"17387",17387,1979,12,"b","Buffalo",100,-23.2,31.01,296335.02,7432946.32
"17412",17412,1979,12,"b","Buffalo",150,-23.18,31.11,306543.31,7435297.8
"17423",17423,1979,12,"b","Buffalo",300,-23.22,31.13,308647.95,7430894.52
"17445",17445,1979,12,"b","Buffalo",200,-23.24,31.17,312769.93,7428731.81
"17447",17447,1979,12,"b","Buffalo",50,-23.24,31.19,314816.63,7428757.48
"17545",17545,1979,13,"b","Buffalo",500,-23.76,31.59,356312.81,7371631.94
"17573",17573,1979,13,"b","Buffalo",420,-23.7,31.61,358286.32,7378295.95
"17679",17679,1979,14,"b","Buffalo",200,-23.47,31.4,336588.15,7403540.94
"17727",17727,1979,14,"b","Buffalo",250,-23.58,31.48,344889.11,7391448.86
"17802",17802,1979,15,"b","Buffalo",9,-23.31,31.38,334346.2,7421235.79
"17861",17861,1979,15,"b","Buffalo",200,-23.31,31.51,347641.57,7421378.61
"17952",17952,1979,18,"b","Buffalo",350,-23.28,31.42,338400.91,7424603
"18009",18009,1979,18,"b","Buffalo",4,-23.14,31.46,342328.46,7440149.3
"18033",18033,1979,18,"b","Buffalo",5,-23.22,31.53,349585.95,7431365.1
"18202",18202,1979,19,"b","Buffalo",300,-23.95,31.8,377893.57,7350790.01
"18260",18260,1979,20,"b","Buffalo",50,-24.08,31.38,335315.33,7335966.21
"18311",18311,1979,20,"b","Buffalo",200,-24.12,31.61,358743.71,7331787.4
"18398",18398,1979,21,"b","Buffalo",100,-24.2,31.53,350705.74,7322845.2
"18407",18407,1979,21,"b","Buffalo",300,-24.26,31.57,354836.81,7316242.94
"18436",18436,1979,21,"b","Buffalo",450,-24.2,31.59,356800.22,7322908
"18498",18498,1979,22,"b","Buffalo",60,-24.43,31.42,339821.53,7297251.56
"18576",18576,1979,22,"b","Buffalo",450,-24.41,31.46,343852.72,7299512.17
"18727",18727,1979,23,"b","Buffalo",250,-24.16,31.67,364883.92,7327417.12
